;date;open;high;low;close;volume;isEmaUptrend;isEmaDowntrend;isSmaUptrend;isSmaDowntrend;prediction;signal;barsHeld;isEarlySignalFlip;isLastSignalBuy;isLastSignalSell;isNewBuySignal;isNewSellSignal;startLongTrade;startShortTrade;endLongTrade;endShortTrade;RSI;CCI;ADX
12;2024-05-07;2548.38;2566.37;2530.24;2536.99;32839442.0;1;1;1;1;6;1;232;0;1;0;0;0;;;0;0;60.22861247761012;186.65120100526727;16.06739524396968
13;2024-05-06;2493.56;2553.52;2479.34;2547.53;27151253.0;1;1;1;1;8;1;231;0;1;0;0;0;;;0;0;61.92683094706667;161.07211988070597;15.5074421408704
14;2024-05-02;2487.7;2493.84;2462.79;2470.52;14219177.0;1;1;1;1;4;1;230;0;1;0;0;0;;;0;0;52.92059049162503;18.839810278004393;15.044958679661736
15;2024-04-30;2512.34;2512.34;2471.82;2476.29;19095347.0;1;1;1;1;6;1;229;0;1;0;0;0;;;0;0;53.806114102549316;57.367064709015295;15.234906571029388
16;2024-04-29;2487.9;2509.76;2459.86;2507.84;17339696.0;1;1;1;1;6;1;228;0;1;0;0;0;;;0;0;58.801923539397514;80.91246417709223;15.288074489120296
17;2024-04-26;2474.36;2487.99;2466.0;2479.1;19628932.0;1;1;1;1;6;1;227;0;1;0;0;0;;;0;0;55.290556599525864;46.026826396737846;15.37491601948614
18;2024-04-25;2476.84;2479.18;2432.61;2446.93;20243633.0;1;1;1;1;4;1;226;0;1;0;0;0;;;0;0;50.944816000576296;-13.791650835457247;15.729973803071449
19;2024-04-24;2507.53;2508.71;2467.53;2469.17;21648466.0;1;1;1;1;4;1;225;0;1;0;0;0;;;0;0;54.335166320224594;63.84482187386913;16.213402713214006
20;2024-04-23;2495.09;2518.21;2478.04;2492.3;21294020.0;1;1;1;1;6;1;224;0;1;0;0;0;;;0;0;58.06707211610269;97.39448540270845;16.195426175035387
21;2024-04-22;2479.25;2511.82;2473.72;2508.34;26277242.901374;1;1;1;1;6;1;223;0;1;0;0;0;;;0;0;60.75408147219691;107.90289279578315;16.00716221789913
22;2024-04-19;2440.69;2467.07;2436.48;2464.04;27420606.0;1;1;1;1;8;1;222;0;1;0;0;0;;;0;0;55.46948753412916;36.07575333302895;15.877405647124267
23;2024-04-18;2453.09;2461.53;2417.94;2460.99;26962145.0;1;1;1;1;-8;1;221;0;1;0;0;0;;;0;0;55.0828170114808;26.68314570453757;16.259249472497114
24;2024-04-17;2400.66;2445.88;2398.15;2432.32;34556675.0;1;1;1;1;-8;1;220;0;1;0;0;0;;;0;0;51.39924138355458;0.014667584292207846;16.730514008723414
25;2024-04-16;2428.0;2429.4;2383.85;2392.5;27963299.0;1;1;1;1;-8;1;219;0;1;0;0;0;;;0;0;45.65096270820282;-28.24611661195766;17.42289925822389
26;2024-04-15;2465.66;2475.35;2447.33;2453.31;19862472.0;1;1;1;1;4;1;218;0;1;0;0;0;;;0;0;54.850460223033124;52.774955306635704;18.31519775030244
27;2024-04-12;2491.92;2501.93;2444.82;2446.16;20022302.0;1;1;1;1;6;1;217;0;1;0;0;0;;;0;0;53.83473591706889;65.6688458960186;18.35403227260263
28;2024-04-11;2491.0;2507.54;2468.31;2468.31;29576577.0;1;1;1;1;8;1;216;0;1;0;0;0;;;0;0;57.5597179277566;98.13341563685715;18.39491071712915
29;2024-04-10;2489.31;2514.69;2478.02;2500.26;37967255.0;1;1;1;1;0;1;215;0;1;0;0;0;;;0;0;63.439090609104895;137.43962120249248;18.039073732410685
30;2024-04-09;2511.74;2529.12;2467.25;2475.42;25809982.0;1;1;1;1;0;1;214;0;1;0;0;0;;;0;0;60.528421235829754;145.13764219336238;17.49344812179492
31;2024-04-08;2469.4;2512.32;2469.4;2507.13;18559549.0;1;1;1;1;2;1;213;0;1;0;0;0;;;0;0;66.83573734445933;175.31618607263542;16.919105373778326
32;2024-04-05;2454.59;2470.75;2437.36;2470.75;20946543.0;1;1;1;1;2;1;212;0;1;0;0;0;;;0;0;62.69439526900186;133.76479002514486;16.473787960473167
33;2024-04-04;2438.03;2471.53;2433.13;2469.3;16131103.0;1;1;1;1;2;1;211;0;1;0;0;0;;;0;0;62.52118355846537;150.36292174978354;16.43824951452405
34;2024-04-03;2439.87;2453.64;2417.97;2433.78;17761685.0;1;1;1;1;4;1;210;0;1;0;0;0;;;0;0;58.095457357092826;126.10144100919275;16.40084062405129
35;2024-04-02;2440.7;2473.58;2425.33;2434.77;23924417.0;1;1;1;1;6;1;209;0;1;0;0;0;;;0;0;58.27355071001823;157.16422888940687;16.55664623571456
36;2024-03-28;2392.63;2439.21;2392.63;2436.05;18007784.0;1;1;1;1;6;1;208;0;1;0;0;0;;;0;0;58.488813238116045;111.78172616021747;16.614343311210327
37;2024-03-27;2387.84;2399.45;2380.8;2394.81;13861727.0;1;1;1;1;6;1;207;0;1;0;0;0;;;0;0;53.331215743170816;33.771938270231374;17.0566898598565
38;2024-03-26;2345.98;2396.21;2336.06;2387.64;19483070.0;1;1;1;1;4;1;206;0;1;0;0;0;;;0;0;52.37594947453971;-15.13909983072549;17.88376230481998
39;2024-03-25;2377.78;2381.01;2342.8;2343.24;14919609.0;1;1;1;1;4;1;205;0;1;0;0;0;;;0;0;46.022827104866366;-58.63589665214774;18.711046377507426
